date,ticker,side,shares,price,cash_after
2023-11-02,LT,TRIM,1.645733226499454,2868.5869140625,207575.05304303233
2023-11-02,MARUTI,BUY,4.188416703870658,10097.8955078125,165196.27043573224
2023-11-02,NTPC,TRIM,16.40052774133748,219.9723358154297,168796.71750680826
2023-11-02,NESTLEIND,BUY,35.90192858482442,1178.0479736328125,126417.93489950818
2023-11-02,LTIM,BUY,8.639715161806945,4895.32275390625,84039.1522922081
2023-11-02,M&M,BUY,29.22103689750039,1447.3885498046875,41660.36968490802
2023-11-02,ADANIPORTS,TRIM,0.8580675013977404,767.2592163085938,42317.413163173
2023-11-02,INFY,BUY,32.73934462174076,1289.975341796875,0.0
2024-02-02,M&M,SELL,29.22103689750039,1635.538330078125,47696.541638708084
2024-02-02,BAJFINANCE,SELL,57.529559345635526,677.2304077148438,86579.38703614552
2024-02-02,INDUSINDBK,SELL,29.324708789777194,1516.9095458984375,130973.35186866255
2024-02-02,AXISBANK,SELL,43.09782771181781,1065.3167724609375,176794.3649092578
2024-02-02,LTIM,SELL,8.639715161806945,5349.55029296875,222920.51850271868
2024-02-02,TITAN,SELL,13.320445463895716,3589.814697265625,270642.8135413359
2024-02-02,HDFCLIFE,SELL,68.84743006001844,575.248291015625,310167.97129121365
2024-02-02,MARUTI,SELL,4.188416703870658,10442.72265625,353818.9683505251
2024-02-02,BAJAJFINSV,SELL,26.92700026789967,1649.655029296875,398150.3892435124
2024-02-02,NESTLEIND,SELL,35.90192858482442,1212.35595703125,441589.25439825736
2024-02-02,SBILIFE,SELL,31.704382864544417,1428.1688232421875,486777.907143199
2024-02-02,ADANIENT,BUY,16.235869346412713,3154.652099609375,435456.95078190934
2024-02-02,ADANIPORTS,TRIM,14.176544438942495,1249.9794921875,453141.8998210347
2024-02-02,APOLLOHOSP,BUY,8.155983226476247,6279.87060546875,401820.94345974503
2024-02-02,BAJAJ-AUTO,TRIM,1.3811748897272715,7486.08935546875,412139.86290249304
2024-02-02,BHARTIARTL,TRIM,1.2938739210532684,1134.9344482421875,413605.38806300925
2024-02-02,BPCL,BUY,205.71074396817798,248.9832000732422,362284.4317017196
2024-02-02,COALINDIA,TRIM,24.126310310636097,364.89111328125,371070.30097787926
2024-02-02,HCLTECH,TRIM,1.1446730746087288,1473.6663818359375,372753.7934736664
2024-02-02,HEROMOTOCO,TRIM,3.282591999919758,4319.55419921875,386904.7688631265
2024-02-02,INFY,TRIM,0.5483305970244015,1594.263427734375,387777.203913436
2024-02-02,NTPC,TRIM,29.16515278808778,313.9090270996094,396914.0982408822
2024-02-02,ONGC,TRIM,39.32106575344832,228.40684509277344,405877.336414164
2024-02-02,POWERGRID,TRIM,29.4167831931228,255.0546112060547,413365.21684201824
2024-02-02,SUNPHARMA,BUY,37.05585810808554,1382.1976318359375,362044.2604807286
2024-02-02,TATACONSUM,TRIM,2.3084918710088513,1146.2928466796875,364685.1757836475
2024-02-02,HINDALCO,BUY,88.92870157205616,575.9503784179688,313364.21942235786
2024-02-02,EICHERMOT,BUY,13.712409053082572,3735.19482421875,262043.26306106822
2024-02-02,RELIANCE,BUY,35.396589490299654,1446.990234375,210722.3066997786
2024-02-02,WIPRO,BUY,226.17771544627738,226.45254516601562,159401.35033848893
2024-02-02,LT,BUY,0.6890870200174174,3318.766357421875,157109.8576814803
2024-02-02,ULTRACEMCO,BUY,0.08295214580549327,9975.7822265625,156280.69011461508
2024-02-02,CIPLA,BUY,1.814751841795126,1366.34521484375,153796.1534644591
2024-02-02,TCS,BUY,13.769755742180541,3719.638916015625,102475.19710316944
2024-02-02,TECHM,BUY,40.47450472963234,1265.451416015625,51154.240741879796
2024-02-02,SBIN,BUY,81.50628545221589,626.3582763671875,0.0
2024-05-03,TECHM,SELL,40.47450472963234,1182.5601806640625,47767.81055011175
